date,IGAE,ActividadIndustrial,FBCF
2003-01-01,73.5127060957,80.8072590619,65.9432007273
2003-02-01,73.953942758,82.6076621793,67.4342968746
2003-03-01,73.4120196195,82.069679135,66.1105330809
2003-04-01,73.504118537,82.2503702168,66.8303585309
2003-05-01,73.2902632503,82.5034449762,65.873860545
2003-06-01,73.8949887389,83.0161181791,66.5438005302
2003-07-01,73.9175110909,82.784531794,66.3889256833
2003-08-01,73.2333317988,82.5725106578,66.4167206761
2003-09-01,73.4578640293,82.3889629872,64.8719162593
2003-10-01,73.7495443305,82.963211784,65.9138983906
2003-11-01,73.8863392846,82.431167529,64.8857131653
2003-12-01,74.7792187629,83.8516363794,66.1286840831
2004-01-01,75.1301321552,84.1058339378,69.7516798476
2004-02-01,75.3544977717,84.2272786242,68.5580642418
2004-03-01,76.2809870048,85.9846064375,70.0709234847
2004-04-01,76.0208741784,85.8501895413,70.4776641671
2004-05-01,76.1477767965,85.5000707973,70.3337001543
2004-06-01,76.5062478483,86.0201811836,70.7731352058
2004-07-01,76.0453700132,85.5883811009,70.2177530899
2004-08-01,76.2357212645,85.5747820204,69.2768050359
2004-09-01,76.2247846131,85.6711371087,70.0119089192
2004-10-01,76.453242998,85.9962363253,71.1184837843
2004-11-01,77.1359320536,86.0393602312,71.6521546749
2004-12-01,77.0680746814,86.2838047589,71.5426282995
2005-01-01,77.1343760276,86.5007638586,73.2020250726
2005-02-01,77.2719923065,86.874540866,71.8330518357
2005-03-01,76.9354443399,86.6538442494,73.325047237
2005-04-01,77.3319960926,86.9465385136,71.8816120703
2005-05-01,77.5130013975,87.7337620476,72.6771808995
2005-06-01,76.8612069853,86.6567046077,73.1042441978
2005-07-01,77.1134085472,85.3777222121,72.4746333796
2005-08-01,78.1223318726,87.6000467054,73.6209265381
2005-09-01,78.5358471829,88.292140932,74.2752523927
2005-10-01,78.7595408517,88.5377585773,74.5716977046
2005-11-01,79.4774544294,89.8426590056,76.834260543
2005-12-01,79.9671931984,90.9429634571,77.8403841097
2006-01-01,81.4547020585,91.1862015299,78.6922076063
2006-02-01,80.6010107705,90.5973060473,77.780658081
2006-03-01,80.6830855608,91.4456552175,79.7091729527
2006-04-01,81.1224306687,91.5628692592,80.4474425689
2006-05-01,81.9552761412,92.4720390755,80.7275583078
2006-06-01,81.835470577,92.5475467694,80.5666507794
2006-07-01,81.7971662464,92.5187603373,81.1528396577
2006-08-01,82.0052726923,92.9550180002,82.5743174122
2006-09-01,81.975106992,92.6379287479,83.4255195986
2006-10-01,82.208797716,92.6501025959,82.255911863
2006-11-01,81.9399761808,92.8355111262,82.4619530563
2006-12-01,82.3171218873,91.9211245463,83.2706787792
2007-01-01,82.390163735,92.0213197103,81.2323469448
2007-02-01,82.4443216685,92.7169960962,83.237274669
2007-03-01,82.9124548306,93.6884340396,83.6564447837
2007-04-01,83.2903373236,93.4349755001,84.9428117006
2007-05-01,83.4713168981,93.4531323521,85.1307706265
2007-06-01,83.8205077492,93.4291843921,83.5891188294
2007-07-01,83.6765870199,93.408442939,86.7479868258
2007-08-01,83.8701714081,92.9225342523,87.7834707789
2007-09-01,84.041870709,93.4833009474,92.7073464949
2007-10-01,83.9188850486,93.1504846011,90.4095621407
2007-11-01,83.5993523198,92.514844068,90.9588370206
2007-12-01,83.6413270526,93.0985179359,90.5434404495
2008-01-01,84.133775159,92.899664937,91.9843363721
2008-02-01,84.2515710798,94.8660589358,94.2317733324
2008-03-01,83.0886951732,92.7272708282,92.4460149214
2008-04-01,84.689093539,92.7589884529,93.0186712306
2008-05-01,84.2439526632,92.8725242356,95.0910559904
2008-06-01,84.9165908905,93.9099995175,96.1926613115
2008-07-01,84.8499996916,92.1846719874,97.6937310496
2008-08-01,83.9340769764,92.1762471877,92.9146609494
2008-09-01,83.6879950266,91.4211516386,91.0564962084
2008-10-01,83.7731972182,91.5293081449,91.2175555147
2008-11-01,82.6380714065,89.9938741844,89.7614027366
2008-12-01,81.711357573,88.985152754,85.6786730802
2009-01-01,78.1556727861,84.3248760016,81.6295840696
2009-02-01,77.8533892606,83.9623840125,80.9837580661
2009-03-01,77.6631132355,83.2383757178,80.7477519891
2009-04-01,76.987615746,83.2666630561,80.1555593064
2009-05-01,76.627576564,83.0480991611,80.3226270186
2009-06-01,77.8427640858,82.8566030366,81.4497146013
2009-07-01,79.2322315514,84.7259542337,83.0089607972
2009-08-01,79.0764138319,84.6881726951,81.0851911615
2009-09-01,79.6730535656,85.9214581739,82.0142973126
2009-10-01,80.288648113,86.3606012902,81.5190144347
2009-11-01,81.0873331792,87.6743522234,81.3262383379
2009-12-01,81.5545679455,88.0642924675,83.1820088974
2010-01-01,80.8530034784,87.8845596006,84.3480514717
2010-02-01,81.513567477,87.4910815175,83.8247154681
2010-03-01,82.0706073417,88.5240975039,86.0879046979
2010-04-01,83.0179069822,89.4879772703,87.1912378014
2010-05-01,82.8531058595,88.9573804588,85.3489718391
2010-06-01,82.8298900824,88.9779599372,85.9227741527
2010-07-01,83.1170737679,88.735533661,84.2003563653
2010-08-01,83.3076072499,89.4640272136,86.1222031258
2010-09-01,83.548894946,88.9668259347,87.0662342653
2010-10-01,83.5151381909,89.024876836,88.2733512098
2010-11-01,83.6826035801,88.8501336856,88.4641167137
2010-12-01,84.3643173825,89.6709590162,89.4362297242
2011-01-01,84.4825354017,89.8147822398,91.2134482646
2011-02-01,84.6730804434,89.6138696408,88.9464757026
2011-03-01,85.2074220232,90.2925934716,88.4432704598
2011-04-01,84.3710617861,90.2089858788,89.757505896
2011-05-01,85.5263783248,91.0020471935,92.2840320984
2011-06-01,85.869865986,91.841239456,95.7832857325
2011-07-01,86.1302985675,91.6410865534,94.6508602348
2011-08-01,86.8420110232,92.073650802,96.7521168273
2011-09-01,86.9464066924,91.9282724901,94.6298399027
2011-10-01,86.987575947,93.1387734687,96.566644984
